folder,name,gtfs_match,gtfs_stop_id,gtfs_stop_name,dist_gtfs_point_m,n_vertices,centroid_lat,centroid_lon,area_m2,mar_length_m,mar_width_m,aspect_ratio,rect_fill,bearing_mar_deg,bearing_pca_area_deg,elongation_pca,line_bearing_shape_proj_deg,dist_centroid_to_track_m,diff_pca_vs_track_deg,bearing_longest_edge_deg,longest_edge_m,bbox_w_m,bbox_h_m,line_bearing_kml_seg_deg,diff_kml_seg_deg
Line 8,Escuadron 201,exacto+linea,0200L8-ESCUADRON,Escuadrón 201,7.4,42,19.3648075,-99.1094188,3616.0,151.3,64.5,2.35,0.371,13.7,12.2,2.46,,,,12.1,54.2,67.6,150.1,12.1,1.6
Line 8,Atlalilco,exacto+linea,0200L8-ATLALILCO,Atlalilco,5.0,35,19.3560455,-99.1013403,3767.7,152.4,88.8,1.72,0.278,99.3,82.3,2.39,82.6,3.8,0.3,78.6,63.6,156.2,90.9,6.3,87.0
Line 8,Iztapalapa,exacto+linea,0200L8-IZTAPALAPA,Iztapalapa,10.1,26,19.357867,-99.0933627,3769.0,150.6,63.8,2.36,0.392,89.8,80.3,2.46,73.3,1.9,7.0,77.6,68.5,150.5,64.0,6.3,83.5
Line 8,Cerro de la Estrella,exacto+linea,0200L8-CERROESTRELLA,Cerro de la Estrella,10.9,33,19.3560798,-99.0857189,3464.4,153.2,54.5,2.81,0.415,139.6,126.3,3.37,122.5,3.2,3.8,125.9,64.4,135.5,106.8,6.3,46.7
Line 8,UAM-I,exacto+linea,0200L8-UAM-I,UAM-I,2.0,40,19.3510695,-99.0748356,3622.0,155.7,67.3,2.31,0.345,115.1,116.0,2.49,,,,115.0,56.5,145.5,76.7,6.3,71.2
Line 8,Constitucion de 1917,exacto+linea,0200L8-CONST1917,Constitución de 1917,18.5,47,19.3458151,-99.0638642,6720.2,202.7,176.3,1.15,0.188,111.7,117.1,1.49,115.9,18.3,1.2,25.5,95.7,213.9,216.0,130.7,19.0
Line 9,Pantitlan,exacto+linea,0200L9-PANTITLAN,Pantitlán,81.5,125,19.4158255,-99.0728003,13875.9,349.2,233.5,1.5,0.17,8.0,153.6,1.49,33.0,81.6,59.4,31.1,162.9,237.2,363.7,34.3,26.3
Line 9,Puebla,exacto+linea,0200L9-PUEBLA,Puebla,3.9,17,19.4071962,-99.0823532,4026.4,161.1,85.9,1.88,0.291,117.3,97.8,2.16,98.9,1.0,1.1,98.0,90.9,165.8,90.3,100.7,16.6
Line 9,Ciudad Deportiva,exacto+linea,0200L9-CIUDADDVA,Ciudad Deportiva,1.1,19,19.4084396,-99.0912464,4050.8,154.8,85.5,1.81,0.306,72.6,96.2,2.09,98.1,0.7,1.9,98.4,75.0,165.0,89.4,95.3,22.7
Line 9,Velodromo,exacto+linea,0200L9-VELODROMO,Velódromo,0.6,24,19.4085391,-99.1031541,3368.7,165.0,30.2,5.46,0.676,87.6,87.9,6.59,88.3,0.0,0.4,88.3,45.7,165.1,31.3,89.3,1.7
Line 9,Mixiuhca,exacto+linea,0200L9-MIXIUHCA,Mixiuhca,47.3,32,19.4083551,-99.1125202,4583.5,206.9,47.4,4.36,0.467,92.3,92.2,3.99,96.5,1.4,4.3,92.0,76.7,207.1,49.6,89.3,3.0
