,x,y,class,href,texto,x_texto,y_texto,text_anchor,transform,color,stops
56,44.0,98.0,linea3,#clg-a0c965,Universidad,43.25,98.0,end,,#a0c965,['0200L3-UNIVERSIDAD']
57,47.0,29.0,linea5,                                                                                                                   #clg-fff200,Autobuses del Norte,46.25,29.0,end,,#fff200,['0200L5-AUTOBUSESNTE']
58,50.0,26.0,linea6,                                                                                                                   #clg-ff0800,Linda Vista,50.75,26.0,,rotate(-45),#ff0800,['0200L6-LINDAVISTA']
59,50.5,32.5,linea5,                                                                                                                   #clg-xf-fff200,La Raza,49.0,32.5,end,,#fff200,['0200L5-LARAZA' '0200L3-LARAZA']
60,50.0,43.0,linea8,                                                                                                                   #clg-xf-00be00,Garibaldi,51.5,42.5,,rotate(-45),#00be00,[]
61,50.0,47.0,linea8,                                                                                                                   #clg-xf-00be00,Bellas Artes,48.5,47.0,end,rotate(-45),#00be00,['0200L8-BELLASARTES' '0200L2-BELLASARTES']
62,50.0,52.0,linea8,                                                                                                                   #clg-00be00,San Juan de Letran,50.75,52.0,,rotate(-45),#00be00,['0200L8-SANJUANLETRAN']
63,50.0,57.0,linea1,                                                                                                                   #clg-xf-ff9cce,Salto del Agua,51.5,57.0,,rotate(-45),#ff9cce,['0200L8-SALTOAGUA' '0200L1-SALTODELAGUA']
64,52.0,61.0,linea8,#clg-00be00,Doctores,51.25,61.0,end,,#00be00,['0200L8-DOCTORES']
65,52.0,69.0,linea9,                                                                                                                   #clg-92535d,Lazaro Cardenas,52.75,69.0,,rotate(45),#92535d,['0200L9-LAZAROCAR']
66,52.0,85.0,linea12,                                                                                                                  #clg-fff0b5,Parque de los Venados,51.25,85.0,end,rotate(-45),#fff0b5,['020L12-PARQUEVENADOS']
67,53.0,35.0,linea5,#clg-fff200,Misterios,54.5,35.0,,,#fff200,['0200L5-MISTERIOS']
68,55.0,17.0,linea3,                                                                                                                   #clg-xf-a0c965,Indios Verdes,56.5,17.0,,,#a0c965,['0200L3-INDIOSVERD']
69,55.0,26.0,linea3,                                                                                                                   #clg-xf-a0c965,Deportivo 18 de Marzo,56.5,26.0,,rotate(-45),#a0c965,['0200L6-DTVO18MARZO' '0200L3-DTVO18MARZO']
